Titulo Original,Transliteración,Titulo en Español,Editor/Director,Idioma,País,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicios,Inicio Modificador,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Cese Modificador,Frecuencia,Clasificación,Notas,Ubicación
El Vocero: para una colectividad en marcha,,,Marcos Levy,Español,Chile,Santiago de Chile,Ricardo Lyon 837,Comunidad Israelita Sefaradí de Chile,Diario,1978,XX,XX,1978,,,,,,/,monthly,sefaradies, Suspendida (feb. 1991)-(ago. 1994),Harvard; UCLA; LoC; UFlo; Bib Nac Chile
Eretz Israel,,,,Español,Chile,Santiago de Chile,,Partido Estado Judio en palestina (Sección Chile),,july 1936,07,XX,1936,,august 1937,08,XX,1937,,,,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Etgar,,,"Nuryt Berkovich, Rivka Berkovich, Abraham Klecky",Español,Chile,Santiago de Chile,,Federación de Estudiantes Judíos Universitarios Sionistas de Chile,Revista,1993,XX,XX,1993,,,,,,/,,juventud universitaria,,Harvard
Flashes Chile -Keren ,,,,Español,Chile,Santiago de Chile,,Keren Hayesod,Boletín,1991,XX,XX,1991,,,,,,/,,sionista,,Harvard
Gesher,,Puente,,Español,Chile,Santiago de Chile,,Unión de Estudiantes Sionistas de Chile,,1985,XX,XX,1985,,,,,,/,,juventud sionista,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Hakol,,La voz,Elías I. Aron,Español,Chile,Santiago de Chile,Huérfanos 757 oficina 214,,,september 1953,09,XX,1953,,july 1954,07,XX,1954,,monthly,,"Suplemento mensual de audicion ""Hora Hebrea"".",Center for Jewish History CJH (NY); IWO; Bibl Nac Chile
Ha Mishmar,,,,Español,Chile,Santiago de Chile,,Mifleguet Hashomer Hatzair,,august 1954,08,XX,1954,,,,,,/,,,,Bib Nac Chile
Hashajar,,,Jaime Stifel,Español,Chile,Santiago de Chile,,Centro Universitario Judío,,may/june 1956,06,XX,1956,,september/december 1958?,24,XX,1958,%,,,,Bib Nac Chile
"
Hayeled",,Ensayos para niños judios,,Español,Chile,Santiago de Chile,Casilla 9478,Agudas Jisroel Organizacion,Boletín,19?,XX,XX,19XX,,,,,,/,,infantil,,Harvard
Herencia judia,,,Herman Scherson,Español,Chile,Santiago de Chile,Vicuña Mackenna 179,B'nai B'rith,Revista,primer trimestre 1968,21,XX,1968,,,,,,/,,cultural,,NLI; SRL
Hora hebrea,,,,Español,Chile,,,,,,,,,,,,,,,,,,
Horizontes,,,,Español,Chile,Valparaiso,,Club Deportivo Israelita,,1940,XX,XX,1940,,,,,,/,,deportivo,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
"
Informa",,,,Español,Chile,,,Club Deportivo Estadio Israelita Maccabi,Boletín,199?,XX,XX,199X,,,,,,/,,social deportivo,,Harvard
Informativo  ,,,,Español,Chile,Santiago de Chile,,"B'nai B'rith (Chile, Bolivia). Gabinete de Prensa y Difusión",Boletín,1980?,XX,XX,1980,?,,,,,/,,,,Harvard; Bib Nac Chile
Informativo,,,Salo Rezepka,Español,Chile,Santiago de Chile,Avda. Las Condes 8361,Estadio Israelita Maccabi,Boletín,1980?,XX,XX,1980,?,,,,,/,monthly,social deportivo,,Harvard
Informativo sionista independiente,,I.S.I.,,Español,Chile,Santiago de Chile,,Organización Sionista Independiente,,1966,XX,XX,1966,,,,,,/,,sionismo,Archivo Histórico del Judaísmo Chileno,Bib Nac Chile
Instituto Hebreo informa,,,,Español,Chile,Santiago de Chile,J.P. Alessandri 1242,Instituto Hebreo Comprensivo Jaim Weitzman ORT,Boletín,marzo 1978,03,XX,1978,,,,,,/,,escolar,,Harvard
Israel ,,,A. Drapkin; M. Jaimovich; L. Dimand; L. Gomberoff - comité de redaccion,Español,Chile,Santiago de Chile,Serrano 202,Centro Juventud Sionista León Jaffe,Diario,octubre 1930,10,XX,1930,,,,,,/,biweekly,sionismo,Archivo Histórico del Judaísmo Chileno,NLI
