Titulo_Original,Transliteración,Titulo en Español,Editor/Director,Idioma,Pais,Lugar de Edición,Dirección,Editor,Tipo de Publicación,Año de inicio,Mes de Inicio,Día de Inicio,Año de Inicioss,Año de cese,Mes de Cese,Día de Cese,Año de Ceses,Frecuencia,Clasificación,Notas,Ubicación,fotos: azul: Harvard; naranja: NLI
Rishonim,,,,Español,Colombia,Bogotá,,Ken Jalutziano Mordejai Anilevich,,1956,,,1956,,,,,,juventud sionista,,Harvard,
Rundschau. Deutsche Zeitung für Kolumbien,,Periodico Columbo Aleman,Erwin Solomon - ed,"Alemán,Español",Colombia,,,,newspaper,julio 1958,07,,1958,,,,,,,"tomado de: The German Language press of the Americas, by Karl Arndt and May Olson. V.2 1973 p.290. es judio?","segun el libro se encuentra en la bilbioteca del Institut fuer Auslandsbeziehungen, Stuttgart",
Salomón,,,Kito Schwartz - editor,Español,Colombia,Bogotá,Carrera 7,Salomón,magazine,august 1999,08,,1999,,,,,,general,,UCLA; Harvard;  NLI; Univ. Nac. Colombia; IberoAmerikanisches Institut,2006 junio-julio no.36
Sefaradí al habla,,,,Español,Colombia,,,,,,,,,,,,,,,,,
Shalom Israel,,,,Español,Colombia,Barranquilla,,B'nai B'rith. Capítulo de Baranquilla,,1990s,,,,,,,,,,,UCLA,
Shaná Tová,,,,Español,Colombia,Barranquilla,,B'nai B'rith. Capítulo de Barranquilla,,septiembre 1994,09,,1994,,,,,,,,UCLA,
Shehejeyanu,,,,Español,Colombia,Providencia,,,,octubre 1997,10,,1997,,,,,,,,UCLA,
Sinai,,,,Español,Colombia,Cali,,Centro Israelita,,,,,,,,,,,,,Harvard,
Technion,,,,Español,Colombia,Bogotá,,Sociedad Technion de Colombia,,1950s,,,,,,,,,,,Harvard,
Tel jai : organo de difusión de Or Jadash Tnuat Noar,,,Paul Chamah,Español,Colombia,Medellín,Apartado Postal 4702,Or Jadash Tnuat Noar,bulletin,mayo 1991,05,,1991,,,,,,juventud,,UCLA; NLI,1991 mayo año 1 no.1
Tikvah,,Organo informativo ,,Español,Colombia,Cali,,Centro Israelita de Beneficencia,,1959?,,,1959?,1974?,XX,XX,1974?,,,,,
Unión,Yahad,Vocero informativo y de Opinión al servicio de la comunidad hebrea de Cali y de Colombia,,Español,Colombia,Cali,,,,1900s,,,,,,,,monthly,,,Cornell; UCLA; Harvard; NLI,
Voz de la Juventud,,,,Español,Colombia,,,"Juventud Judía de Colombia -
Organización Mundial de
Estudiantes Judίos ",,1950,,,1950,,,,,,,,,ver Kol haNoar
,,,,,,,,,,,,,,,,,,,,,,
אונזער טריבונע : ארגאן פון דער אידישער פעדעראציע אין קאלאמביא ... ,,,Jaime Fainboim,Idish,Colombia,Bogotá,Apartado 699,Federacion Hebrea de Colombia,magazine,junio 1936,06,,1936,,,,,monthly,,,NLI,1936 junio año 1 no.1
אידישע נייעס ביולעטין באגאטא קאלאמביא,Idishe neyes byuletin Bogaṭa Colombia,,Azriel Tselnik,Idish,Colombia,Bogotá,,,bulletin,194?,,,194X,,,,,weekly,,,Harvard,
אידישער צענטער פון באגאטא,Idisher tsenter fun Bogota,,,Idish,Colombia,Bogotá,,,,1949,,,1949,,,,,,,,Center for Jewish History CJH (NY),
אינפארמאציע ביולעטין,Informatsye byuletin,Boletin informativo,,Idish,Colombia,Bogotá,,Tsienistn revizyonistn fun Kolombya,bulletin,1947,,,1947,,,,,,sionista revisionista,,Harvard,
ביולעטין פון שול אוו דערציאונג,Byuleṭin fun shul un dertsiung,Boletin informativo del Colegio Hebreo en Bogota,,Idish,Colombia,Bogotá,,העברעאיש־אידישער שול אין באגאטא,bulletin,1948,,,1948,,,,,,educacion,,Harvard,
ציוניסטן רעוויזיאניסטן פון קאלאמביע : אינפארמאציע ביולעטין,Tsienisṭn reṿizyonisṭn fun Ḳolombye : informatsye byuleṭin,,,"Idish,Español",Colombia,Bogotá,,,bulletin,1947?,,,1947?,,,,,mensual,sionista ,,Harvard; Center for Jewish History CJH (NY),
"שנתון בית הספר / בית-הספר ""קולומבו-עברי",,,,Hebreo,Colombia,Bogotá,,Colegio Colombo Hebreo,annual,,,,,,,,,,educacion,,NLI,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
